techname,tag,category,companyname,img,tagline,description,srcurl
チルドコーヒー飲料用　多層容器,,住宅・家電,株式会社アイケープラスト,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/plastic/ik-plast02.jpg,洗練されたプラスチック技術で様々な付加価値製品を創造,多層押出連動成形技術を用いて酸素バリア、遮光、耐衝撃など複数の機能を付加した機能性容器でチルドコーヒー国内トップシェアのロングセラー商品に採用されています。酸素バリア機能により賞味期限延長化に寄与すると共に、淹れたての風味そのままを皆様のお手元へ届けることができます。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/73.html
RFIDリーダライタ製品・ソフト,,機械・ロボット,株式会社アートファイネックス,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/ict/art-finex02.jpg,豊富なRFID経験と製品ラインナップで様々な用途に適したソリューションを提供,誰もが1枚は持っているICカード（交通系カード、免許証、パスポート、taspo、社員証など）を素早く確実に読み取りができる製品からパレットやコンテナに貼ったRFIDタグを数mの距離から読み取る製品まで用途に適した製品、RFIDタグ、制御用ソフトウエアをご用意しています。また導入検討から事前検証、構築、運用に至る各フェーズで、豊富な経験を持つ技術者がお客様をしっかりとサポートします。RFID技術を生かすのは①リーダライタ機器、②RFIDタグ（ICカード）、③動作環境、④制御用ソフトウエアの4つの条件で決まります。RFIDで課題解決ができないか…と検討される際は、お気軽にご相談ください。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/154.html
自動車のパワートレイン部品（T/C）,,自動車,株式会社アイシン福井,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/machine/aisin-aw02.png,部品の進化で、クルマの新たな価値を創造する。,アイシン福井は、eAxle（イーアクスル）などの電動駆動ユニットやハイブリッドトランスミッション、オートマチックトランスミッションの構成部品を手掛けています。自動車の燃費向上やCO2低減をはじめ、走る楽しさと心地良さに貢献する当社製品群は、クルマに乗る人に走る喜びと感動をお届けしています,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/087.html
ゴルフ用カーボンシャフトの装飾,世界シェア1位,スポーツ,アイテック株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/chemical/eyetech02.jpg,ゴルフ用カーボンシャフトの表面処理で世界シェアNo.1,従来のゴルフ用カーボンシャフトへの表面処理は塗装品がほとんどで、メタルシャフトのような高級感のある外観が求められていました。当社は、イオンプレーティングにて金属膜を付けることにより、高級感のある仕上がりを実現。その技術が評価を受け、ゴルフ用カーボンシャフトの表面処理において世界シェアナンバーワン（90％）を誇ります。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/sports/053.html
メガネフレームの表面処理,国内シェア1位,ファッション,アイテック株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/chemical/eyetech03.jpg,メガネメタルフレームの表面処理で国内シェアNo.1,メガネフレームは、少量多品種の最たるもので、装飾、耐腐食性の向上を目的とした表面加工に関しても、その種類は当社だけでも1万種類を超えます。めっき、電着塗装、イオンプレーティングを組み合せていろいろな加工を行っています。現在多くなってきているチタン合金を材料としたメタルフレームにもこれらの組合せで対応しており、当社は、メタルフレームへの表面処理において国内シェアナンバーワン（約60％）を誇っています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/sports/053.html
無接点でのイオンプレーティング加工,国内シェア1位,カルチャー,アイテック株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/chemical/eyetech04.jpg,接点跡を残さないイオンプレーティング加工で国内シェアNo.1,表面処理を行う場合は必ず対象物を治具に固定するため、その接点の跡が残りますが、パチンコ玉やスロットルのコインなど、接点の跡が残ってはいけない製品があります。当社は、接点跡を残さずに窒化チタンなどの金属膜を付けるイオンプレーティング技術を確立し、現在、パチンコ玉やスロットルのコインの表面処理について、国内シェアナンバーワン（90％）を誇ります。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/sports/053.html
独自開発の弾性テンプルを搭載したメガネフレーム,,ファッション,青山眼鏡株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/eyewear/aoyamamegane02.jpg,独創的なテンプルの構造「マルチアーチシステム」を開発,理想の掛け心地を追求することでたどり着いた、画期的なテンプル構造「マルチアーチシステム」。軽量で弾性に優れた素材であるβチタンの板材を、ダブルアーチとシングルアーチに加工し、組み合わせる事で一枚のテンプルにしました。緻密に計算された曲線のパーツを組み合せる「マルチアーチシステム」により、これまでの眼鏡では得ることの出来なかった、理想的な掛け心地を生み出しました。その「マルチアーチシステム」を搭載したオリジナルブランド「バネリーナ」「バネリーノ」。バレエダンサーのようにしなやかで優雅なフォルム、軽くソフトでありながら、しっかりとしたフィット感は掛けていることを忘れてしまうほど。もちろん掛け心地だけではなく、「マルチアーチシステム」の構造を最大限活かしたデザインバリエーションは好評を博しており、毎コレクション多彩なデザインを展開しています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/124.html
眼鏡用高屈折率プラスチックレンズ,国内シェア4位,ファッション,株式会社アサヒオプティカル,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/eyewear/asahioptical02.jpg,プラスチックレンズの成形・表面処理加工の総合技術,当社は、1987年に世界で初めて高屈折率の薄型レンズを製造し、また1994年にはさらに屈折率を高めた世界初の超薄型レンズを開発、そのレンズは日本メーカーとして初めて全米眼鏡業協会の最優秀レンズ賞を受賞しました。その後2000年には屈折率1.74レンズを発売し、現在、高屈折プラスチックレンズにおいて国内シェア第4位を誇っています。また、当社は「ASAHI-LITE」のブランドにて積極的に海外展開を行い、世界各国で開催されている眼鏡展示会にも多く参加しています。現在、約35か国の国や地域にレンズを販売しています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/125.html
折りたたみ式サポートマット（防災マット）,,社会インフラ・ソリューション,稲山織物株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/textile/inayama02.jpg,多数の防災用品の役割をこなし、さらに保管機能にも優れた製品,折りたたみ式サポートマットは睡眠確保を中心に、その他災害時に役立つ数々の機能を備えています。まず、吸水性の低い発泡ポリエチレンを使用し、生地に撥水性の高い素材を使ったことから、水に浮かべる浮き具として使うことも可能です。また、マットの縁に高強度の10本の持ち手を付けており、搬送用の担架としても使用できます。さらには、コンパクトに折りたたんで腰かけとしても活用でき、平常時は省スペースで保管することが可能となっています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/020.html
免震エキスパンションジョイントカバー,,社会インフラ・ソリューション,井上商事株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/machine/inoueshoji02.jpg,地震の動きを再現し、さまざまな振動実験が行える３次元振動台を自社開発,地震国である日本では、庁舎、病院、消防署など地域の防災拠点となる建物や、中高層のマンション、高層のオフィスビルなどを主に年間300棟前後、地震に強い構造の免震建物が設計・施工されています。免震建物と非免震建物や基礎との取合い部には、免震建物の地震時の大きな動きに見合ったクリアランス（隙間）が設けられます。免震エキスパンションジョイントカバーは、このクリアランスのカバー材のことで免震建物の大きな動きに従って動き、破壊や脱落したりしない機能を求められています。当社の免震エキスパンションジョイントカバーは、地震時の地面の動きや建物の動きを再現できる振動台を用い、すべて試験を行って安全性を確認しています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/088.html
除雪トラック用除雪装置,国内シェア1位,社会インフラ・ソリューション,岩崎工業株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/machine/iwasakikogyo02.jpg,自動制御で圧雪を除去するトラックグレーダの技術,除雪車両は、積雪のある地域において冬季間の道路交通を確保する上で欠くことのできないものですが、当社は、高速道路や一般国道、空港などで使用されている除雪トラックの大多数を供給しています。除雪トラックは、ベースとなるトラックに除雪用の装置（スノープラウ）を取り付けたもので、高速道路などの多車線道路から狭くて複雑な生活道路まで、多様な積雪環境、除雪条件に適応した製品を製造しています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/089.html
ポリエステル繊維染色におけるブラック深色加工,国内シェア1位,ファッション,ウラセ株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/textile/urase02.jpg,撥水、抗菌、蓄熱保温など、多彩な加工技術のバリエーション,礼服などの商品は丈夫さやファッション性、快適性などが要求され、摩擦や水などへの耐久性や上質な風合いを高レベルに達成することが求められます。それに加えて当社では、様々な機能性を持たせる加工技術を展開しており、究極の黒さを追求したものをはじめ、撥水、抗菌、ウォッシャブル対応、蓄熱保温などの機能性を付与するものまで豊富に揃えています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/022.html
自動車ボディを成形・加工するプレス機械および周辺自動化装置,,自動車,株式会社エイチアンドエフ,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/machine/h-and-f02.jpg,国内すべての大手自動車メーカーに納入実績あり。国内シェアトップクラス,自動車の燃費向上による地球環境への配慮や、安全性の強化、デザイン性の向上など、自動車業界のニーズが厳しくなるにつれ、当業界に求められる加工技術も日々進化しています。これまで自動車のボディパネルは鉄が主材料でしたが、近年はアルミや高張力鋼板（ハイテン）、炭素繊維など、特殊な加工技術を要する材料も多く活用されています。当社はこれらに対応するプレス成型機も開発するなど、常に自動車産業の多様なニーズに応え、国内トップクラスのシェアを誇っています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/090.html
立体多層構造織物クッション材,,住宅・家電,永平寺サイジング株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/textile/eiheijisizing02.jpg,素材はポリエステル系100％でリサイクルが可能,福井の伝統技術が生んだ織物によるクッション材です。ヘタリの少ない均一なクッション性能を生み出すために糸作りから縫製までを内製化しました。また、織物だけの連続アーチ状の空気層は、体から出る湿気にまざった老廃物を水平に移動させ換気されることで、寝具内を快適でクリーンに保ちます。マットは全国の百貨店を始めホテルや多くの介護施設に販売されています。（経済産業省近畿経済産業局の「関西フロントランナー大賞2008」を受賞。平成21年に「元気なモノ作り中小企業300社」（経済産業省）に選定。また、製品化した西川産業を通じて、「Good Design Award 2012」（日本デザイン振興会）、「Red Dot Design Award 2014 Best of theBest」（ノルトライン・ヴェストファーレン・デザインセンター）受賞。）,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/023.html
可動堰スクリーン取水装置（GSスクリーン）,,社会インフラ・ソリューション,株式会社エコ・プランナー,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/machine/ecoplanner02.jpg,堰上げ、除塵、取水の３つの機能に送水機能をプラスして１台に集約。流水の力を利用し、除塵と取水を同時に行うメンテナンスフリーの取水装置,動力は使用せず、スクリーンの上を流下する越流水により、落ち葉などの浮遊塵芥を除塵しながら取水します。また、砂礫などの沈殿物は堰上流に堆積し、取水に影響を与えることはありません。さらに、沈殿物はGSスクリーンを上げることで流水により押し流されるため、維持管理も非常に簡単です。（GSスクリーンは、当社特許を活用して、福井鐵工㈱において製造・販売しています。）,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/091.html
ライニング地中熱冷暖房システム,,社会インフラ・ソリューション,株式会社エコ・プランナー,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/machine/ecoplanner03.jpg,⻑さ2分の1の熱交換器や、地中熱を効率的に活⽤する制御機器で、省エネ・低コストを両⽴,地中熱は、一年を通して10～20℃の安定した再生可能エネルギーです。地中熱を利用した冷暖房は、省エネやCO2削減効果に優れていますが、初期コストが高い課題があります。そこで、貯水蓄熱を効率良く利用することで長さを従来の2分の1に短縮し初期コストを30％削減した「ライニング地中熱交換器」と、エアコンの出力に合わせた循環水量の調整によって、必要な地中熱のみの利用と採熱効率の向上を可能にした「熱収支バランス制御ユニット」を開発しました。さらに、地中熱交換器からエアコンまでを統一システム化することで、無駄のない冷暖房システムが完成しました。この「ライニング地中熱冷暖房システム」を事業所に実装し消費電力量を比較した結果、従来の空冷式エアコンに比べ、年間の消費電力量を約50％削減できる可能性を確認しました。（本システムは、共同開発者のベルテクス㈱において製造・販売します）（この研究成果は（国研）新エネルギー・産業技術総合開発機構（NEDO）の助成事業（JPNP10020）により得られたものです。）,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/091.html
真空蒸着技術による携帯電話、車載、各種工業部品へのコーティング,,スマートフォン,株式会社エツミ光学,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/chemical/etsumi02.jpg,光の反射や透過の度合いを調整し、自在に色や輝きを表現,真空蒸着とは、真空中で金属や化合物などを電子ビーム等で加熱蒸発させ、蒸気を物体表面に薄膜状につけることです。レンズのコーティング、光学部品の反射膜など数nm～数μmの膜の形成に利用しています。真空蒸着膜はガラスやプラスチック等の基板表面に、誘電体・金属等の蒸着物質を、屈折率・厚み・層数等の組み合わせを変えて成膜し、光（紫外光・可視光・赤外光）を透過・反射・吸収させることが可能です。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/smartphone/054.html
塗装面などのコーティングシステム「バリアクリスタル」,,自動車,株式会社エヌエム,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/other/n-m02.jpg,効果の秘密は極薄30ナノメートルのガラス被膜,バリアクリスタルは、独自開発の専用セラミックに水道水を通して生成した機能水により対象物を高圧洗浄し、塗装面等のコーティングを行う画期的なシステムです。特長として、塗装の場合は、耐久性、防汚性、易洗性、ガラス、コンクリート、タイル、石材は、防汚性、易洗性を発揮します。もともとは自動車用のコーティングシステムとして開発しましたが、施工対象は電車、建築物外壁、船舶などに広がっており、素材としては塗装面だけでなくガラス、コンクリート、タイル、石材まで施工が可能となっています。この技術は、（財）りそな中小企業振興財団と日刊工業新聞社が主催する「第19回中小企業優秀新技術・新製品賞」の優秀賞など、各種表彰を受け評価されています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/164.html
HONDA全車種のオプションカラーエンブレム（金色、黒色）,国内シェア1位,自動車,株式会社NCC,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/chemical/ncc02.jpg,プラスチック製品へのイオンプレーティング加工国内シェアナンバーワン,当加工技術の最大の特長は、世界で初めて、低温での処理を可能とすることから、世の中にあるほとんどの固体（金属、プラスチック、ゴム、ガラス、紙、陶磁器、繊維、木材など）にメッキ皮膜をつけることができる点にあります。さらに、金属膜のみならずセラミック膜としてコーティングすることができるため、従来の着色技術と比較しても抜群の強度や耐久性を発揮。HONDA全車種のオプションカラーエンブレムに採用されています。また、プラスチックのメタライズ加工で最も多く行われているのは真空蒸着加工ですが、密着性や膜の強度など物性に大差があるため、これまで、用途が限定されていました。当加工技術は、後加工を要しない最終処理として使用できるため、今後、プラスチック製品の大幅な用途拡大も期待できます。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/055.html
最小刃厚20μの高速微細加工専用超硬ソリッドメタルソー,,機械・ロボット,株式会社エムエーツール,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/machine/ma-tool02.jpg,新たな研削方法や超硬素材の研究など独自の研磨技術を確立,超硬ソリッドメタルソーは、精密部品の切断と溝加工に用いられるカッターで、当社のメタルソーは国内最小刃厚20μを実現。極薄ですが耐久性に優れ、複合機能材料や樹脂、金属など、どんな材質でも高精度に切断、溝入れ加工できるのが特徴です。電子部品や自動車部品など、進化するハイテク製品の超微細加工向けに使用され、国内外の企業から高い評価を得ています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/machine/092.html
工作機械の刃具取り付け装置,,自動車,株式会社オーエムエンジニアリング,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/electro/om-engineering02.jpg,国内で唯一、空冷可能な高周波誘導加熱を実現,従来の高周波加熱コイルは装置と一体であったため、刃具挿入後の固定は水冷が常識でしたが、当社独自技術によるワンタッチ式の高周波発生コイルの開発で空冷が可能となり、メンテナンスフリーとともに、装置そのものも移動できるようになりました。当社は、空冷式焼バメ装置を製造する国内唯一のメーカーです。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/138.html
りん銅地金（JIS H 2501-1982）,世界シェア30%,住宅・家電,株式会社大阪合金工業所,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/machine/osaka-gokin02.jpg,画期的な銅合金溶解技術により高品質素材を世界に供給,りん銅地金は、エアコン、エコ給湯器用の銅管の材料として、また銅合金鋳物などの脱酸および銅合金にりんを添加する場合に使われます。当社ではりん銅地金製造にあたって、原料を従来の赤りんから黄りんに代えた製造装置および製造方法を開発・確立し、生産量アップとりんの歩留まり向上、材料原価の低減を実現しました。これにより高い生産性と安定した品質の製品を提供することが可能となり、世界シェアは30％、国内シェアは100％に達しています。（2008年 元気なモノ作り中小企業300社 選定・経済産業省）（2013年 第2回素形材連携経営賞 経済産業大臣賞 受賞・一般財団法人素形材センター）（2014年 グローバルニッチトップ企業 100選 選定・経済産業省）,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/093.html
金属材料の特性を向上させる添加剤（黒鉛球状化剤など）,国内シェア1位,自動車,大阪特殊合金株式会社　勝山工場,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/machine/osaka-tokusyu02.jpg,鉄の強度や粘りを飛躍的に向上させる添加剤,私たちは、鉄をはじめとするさまざまな金属の特性を変える「合金」をつくっています。これらは、シリコンやマグネシウムなど、複数の金属元素を組み合わせたもので、金属溶湯にほんの少し添加するだけで、硬くて強い特性や、やわらかくて加工が容易な特性など、金属材料にさまざまな機能的特性を与えることができます。「ニッチな金属の百貨店」ともいうべき私たちの製品を直接目にする機会はほとんどありませんが、実は暮らしのあらゆる部分を“縁の下” で支えているのです。日本の自動車のほぼ100%に、弊社の合金は使われています。それ以外にも、たとえばその自動車や何トンものトラックが通っても割れないマンホールの蓋は、かつては1枚80kgもの重量がありましたが、合金の技術で今では40kg程度にまで軽量化することが可能となりました。さらにその下で私たちの暮らしを支える上水道管は、素材である鉄の粘りを増すことによって、地震が起こっても簡単に折れたり曲がったりすることがなくなりました。ほかにも、劣化しにくいスマートフォンの差込端子、鉄製の鍋やフライパンといった身近なものから、半導体や工作機械・造船・鉄鋼といったあらゆる分野で弊社の「合金」が活躍しています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/094.html
赤外線コードレスマイクロホン,国内シェア1位,カルチャー,株式会社オーディオテクニカフクイ,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/electro/aoudio-technika02.jpg,赤外線伝送技術や双方向通信技術とノウハウの融合,従来のワイヤレスマイクロホンは電波を利用するタイプが主流であり、盗聴や近隣のマイクとの混信などの問題がありました。オーディオテクニカの開発・生産会社である当社は、それらの問題点を解決するため、赤外線を利用したコードレスマイクを開発しました。現在、多くのカラオケBOXや国の重要機関、大学の会議室などでは、赤外線コードレスマイクロホンが採用されており、当社製品はそれらの市場で国内シェアナンバーワン（約55%）を誇っています。また、オーディオテクニカグループで開発・生産・販売されるワイヤレスマイクロホンシステム（電波タイプ）は、アトランタ～ピョンチャンの各オリンピック中継、グラミー賞の授賞式、著名アーティストの各種コンサートなど、世界中で活用されており、確かな実績と信頼を得ています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/culture/139.html
全自動大型タイヤ交換機,国内シェア1位,自動車,小野谷機工株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/machine/onodani02.jpg,スムーズなタイヤ交換のための最適条件をシステム化,この全自動大型タイヤ交換機は、ホイールの直径および幅を選定し、スタートボタンを押すだけで機械内部のシーケンサー入力された情報により全自動でタイヤとホイールの着脱ができる装置です。従来の汎用機械を使ってのタイヤ着脱の反復操作により、どの部分に、どのタイミングで、どのような補助をすればスムーズに交換できるかを試行錯誤し、ソフトウェア開発により正確に再現。確実なタイヤの組込み、取外し作業を可能にし、完成にこぎつけました。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/095.html
透かしやホログラム、ICタグを漉き込んだ和紙,,住宅・家電,有限会社小畑製紙所,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/other/obataseishisyo02.jpg,試行錯誤のうえ確立した高い品質管理技術,上質な「つや」と手触り感の良さを特徴とする和紙（局紙）は、これまで株券などに使われてきました。偽造防止のため、企業のロゴを透かしとして入れたほか、角度が変わると色や模様が変わる「ホログラム」加工を施した製品を生産してきました。このようなホログラム入り和紙の製造ができるのは当社を含め全国で３社しかありません。こうした技術を活かして、リボンを抄き込み、透かしの入ったグリーティングカードを提案しています。また、透かしの入った卒業証書も生産しており、全国の国公私立大学に採用されています。機密文書の管理用に、ICタグを漉き込んだ用紙を開発。特許を取得しています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/166.html
船舶用ロープ,国内シェア5位,社会インフラ・ソリューション,小浜製綱株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/textile/obamaseikou02.jpg,使用済ロープの調査データを、新商品の研究開発に反映,船舶の使用条件によって求められるロープの性能は違います。繊維素材の組合せをそれぞれの使用条件によって変えることでニーズにあった商品づくりが可能となりますが、そこには使用後の徹底的な調査で蓄積されたデータが活きています。その成果は、クロスロープの取り扱い性、安全管理の容易性とダブルブレードロープの高強度特性を併せ持った新構造ロープ「クィーンブレードシリーズ」など新商品の研究開発となって表れています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/024.html
防犯用赤外線センサ,,住宅・家電,オフロム株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/electro/ofrom02.jpg,センサの高精度を生み出す電気回路設計技術と製造技術,「安全は買う時代」とさえ言われる現代において、防犯システムは事業者向けだけでなく、一般家庭にも広がり、検知センサの需要は年々増えています。当社は、外部からの侵入を検知して通報する基本的なものから、駆動部に信号を送ってライトを点滅したり、威嚇の音を出すものなど、赤外線を応用したセキュリティセンサを開発、製造しています。当社製品は、関連会社オプテックス㈱の製品に一部採用され、人々の暮らしの安全を支えています。また、その他の当社製品は産業用として自動化にも貢献しています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/140.html
「技、響かせ 共に創る。」飲料・食品の搬送用コンベヤーシステム,,機械・ロボット,カイノス株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/machine/kainos02.jpg,最適なラインを提案できるデザイン力と制御のノウハウを保有,コンベヤの役割はA地点からB地点への搬送だけではありません。搬送の途中において、洗浄機、検査機、充填機、殺菌機などそれぞれに専門メーカーが存在する多様なマシンの稼動性を高める役割を担います。工場設計を知り尽くし、最適なコンベヤラインを提案できるデザイン力、制御のノウハウを持つことが当社の強みです。また、容器の変遷に伴い、プラスチックチェーンのコンベヤだけでなく、充填までの工程をエアーで搬送する「エアーコンベヤ」など、新たな搬送方法の研究開発に注力しています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/machine/099.html
ジョイントパネル,,住宅・家電,株式会社カズマ,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/textile/kazuma02.jpg,「1本のレールに取り付け可能」世界初のパネルカーテン,お部屋の中で、意外に大きな面積を占めている窓辺。一般的なカーテンと比べて圧迫感がないフラットスタイルで1枚の絵のようにファブリックデザインを楽しむことができ、お部屋の印象がガラッと変わります。専用のカーテンレールが不要で、一般のカーテンレールを用いて掛け替えが可能。レールに連結しているユニットと生地部分は簡単に取り外しができるので、お部屋の模様替えも気軽にできます。1つの窓に1枚の生地ではなく複数枚を連結しているので、お部屋のシーンや気分によって多様なデザインを組み合わせることができ、オリジナルの窓辺を飾ることができます。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/025.html
微小抵抗器など精密電子部品の自動化ライン用テープ,,スマートフォン,株式会社金津技研,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/electro/kanazugiken02.jpg,電子部品の小形化、実装の高速化に対応する製造技術,①電子部品を安全に運ぶ包装材料精密な電子部品を出荷するには、干渉して傷が付かないように1 個1 個包装する必要があります。袋にバラで入れるわけにはいきません。電子部品の品質を守り、効率良く運搬できるのはエンボスキャリアテープのおかげです。②基盤実装の自動化に不可欠テーピングされて出荷されたエンボステープは基盤実装の設備で活躍します。電子部品が1個ずつ取り出され基盤に実装する製造ラインが自動化できるのもエンボスキャリアテープのおかげです。③高まる電子部品の需要急激に進む自動車の電装化により、電子部品の需要が必然的に高まっています。エレクトロニクス技術の発展を支える一つがエンボスキャリアテープです。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/smartphone/142.html
