techname,tag,category,companyname,img,tagline,description,srcurl
野球用木製バット,,スポーツ,ゼットクリエイト株式会社武生工場,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/other/zett02.jpg,0.1ミリの精度が要求されるバット職人の技術,プロ野球のトップ選手が使用する木製バットは、そのほとんどが完全別注と言われるカスタム品で、3本のバイト（刃物）だけを使用して手作業で切削して製作しています。当社には、全国で数人しかいないとされるバット職人が2名在籍しており、年間約130名のプロ選手にバットを供給しています。精度の高いバットを約30分で製品の形状にまで仕上げる技術の習得には約5年が必要であり、若い世代への技術伝承にも取り組んでいます。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/sports/173.html
植物資源を不燃化する技術「セルフネン」,,住宅・家電,株式会社セルフネン,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/chemical/cellfunen02.jpg,植物資源を不燃化する技術＜セルフネン＞,植物資源は再生可能な資源ですが、「燃える」「腐る」という性質により活用できる機会が限られています。その植物資源を100%活かすために「燃えにくい」「腐りにくい」という特質を付与することにより、活用の幅を広げ、付加価値を高めることができます。当社の技術「セルフネン」は植物資源に燃えにくく腐りにくいという特質を付与するだけでなく、炎が当たっても炭化するだけで着火せず、煙や有害ガスの発生も抑制しリサイクルも出来ます。セルフネン処理された植物資源素材は焼却時のCO2の発生が少ないため、セルフネン処理されてない素材より多くの炭素が固定化されます。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/64.html
パソコンや家電製品などのプラスチック部の難燃剤,世界シェア1位,住宅・家電,大八化学工業株式会社　福井工場,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/chemical/daihachi02.jpg,プラスチックに混ぜ易いように粉体状の製品とした技術が特徴,一般的な液体系難燃剤と比較し、「PX-200」は高純度とすることで固体（粉体）化を実現しました。この粉体化工程は過冷却現象を起こし、とても苦労しましたが、長年培ってきたエステル技術で問題を解決しました。結果、樹脂に添加する際、液体添加装置を必要とせず、樹脂生産の品種切り替えが容易となり、好評を得ています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/064.html
「立体展開検査方式」を搭載したラベル検査装置,,機械・ロボット,高嶋技研株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/machine/takashimagiken02.jpg,画像処理に独自の工夫を加え、高精度自動検査装置を製作,ラベルが貼られたボトル製品（びん、缶、PET）等の外観を複数のカメラで撮像し、容器の形状・遠近歪等の補正によりひずみのない画像で自動検査する「立体展開検査方式」によって、従来の検査では困難だった比較的小さな破れ、汚れ、印刷不良などの欠陥を検出することが可能です。容器の向きに影響を受けず、高速ラインに対応できるため国内大手の飲料工場で数多く活躍しています。この技術は、飲料向けラベル検査だけでなく、立体物の外観検査等へも応用できます。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/machine/106.html
両頭フライス盤,国内シェア1位,機械・ロボット,株式会社武田機械,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/machine/takedakikai02.jpg,熟練工のノウハウをデジタル化（数値制御化）し、高精度加工を実現,金型の元となるプレートには、ミクロン単位の高い精度と技術（寸法はもとより高い平行度・平面度・直角度）が求められます。受注するサイズも様々なので、プレート加工業者も多品種少量の受注に柔軟に対応する必要があります。両頭フライス盤は、材料を両側から同時に面削する機械であり、主に金型の元となるプレートの側面加工を誰でも高精度で行うことができます。本製品は、国内シェアナンバーワン（65％）を誇っています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/machine/107.html
インナーウェア用レース（商品名：フォルポレース、レーシイ・リバーレース、ラックスレース）,国内シェア1位,ファッション,株式会社タケダレース,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/textile/takedalace02.jpg,多種多様なレースデザインを創出。意匠活用優良企業として表彰も,当社は様々な用途のあるレースの中でも最も付加価値が高いインナーウェア用レースで国内シェアナンバーワン（40％）、世界でもトップクラスの生産量を誇っています。海外に生産子会社、生産合弁会社、販売子会社を持つなどグローバルな展開を図っており、当社のレースは日本はもとより欧米、アジア諸国にも販売されています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/036.html
刃物、包丁用の異種金属複合材料（クラッド材料）,,住宅・家電,武生特殊鋼材株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/machine/takehuyokusyu02.jpg,金属を知り尽くすことで確立した異種金属接合技術,当社が製造する性質の異なる2種以上の金属からなる複合材料（クラッド材料）は、各々の金属の長所を併せ持つ高機能材料として主に刃物用（家庭用から工業機械用まで）に使用され、業界ナンバーワンの高いシェアを占め、市場の信頼を得ています。中でもステンレス系オリジナル刃物鋼材（Ｖ鋼シリーズ）は、刃物業界で高い評価を受けています。刃物鋼をコアにし、両側を多積層にしたキッチンナイフは意匠性に優れ、強靭性を発揮。切れ味良く永切れ性を高めた包丁を、世の中に提供しています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/108.html
各種蚊帳（かや）,国内シェア1位,住宅・家電,タナカ株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/other/tanaka02.jpg,夏を快適に過ごす蚊帳蚊やムカデ・エアコンの冷風から体を守ります,昔はどの家庭でも夏には必ず使用していた各種蚊帳。蚊やムカデ対策にはもちろんのこと、生活環境の変化により、①殺虫剤などの薬剤の不快感②エアコンの冷風が体に当たるのを防ぐ③節電への関心の高まり④蚊取り線香による煙や火災の心配など、蚊帳を求める人が、年々増えています。近年では、新しいインテリア・癒し空間として、再び室内用蚊帳が注目されていますがさらに、屋外で使用するアウトドア用蚊帳も人気があります。タナカでは、各種かやを原材料から一貫生産しており、国内シェアナンバーワン（90%）を誇っています。また当社製品は、百貨店、生協、スーパー、ホームセンター、ドラックストアほか、インターネットなどでお求めいただけます。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/174.html
二次電池（充電式電池）用の正極材料,,自動車,株式会社田中化学研究所,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/chemical/tanakachemical02.jpg,環境対応車などに使用される二次電池正極材料を開発・製造,当社の正極材料はEV（電気自動車）やHV（ハイブリッド車）、パワーツール（電動工具）などに幅広く搭載されているリチウムイオン電池やニッケル水素電池などの二次電池に使用されています。二次電池の主役がニッカド電池、ニッケル水素電池、リチウムイオン電池と移り変わるなか、当社は50年近くにわたり二次電池用の正極材料を製造販売し続けています。近年では、高出力が求められるHV用のニッケル水素電池や、高容量が求められるEV用のリチウムイオン電池向け高性能正極材料の開発・供給に注力しています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/065.html
遺跡の形状保存剤,,カルチャー,株式会社田中地質コンサルタント,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/other/tanaka-chishitsu02.jpg,粒子間の結合を強める成分｢ケイ素｣を材料にした製品開発,世界の遺跡などの文化遺産は近年の酸性雨などの環境変化の影響で急激に劣化・風化しており、その保全・修復が急がれています。遺跡の形状保存剤（商品名：TOT）は文化遺産の保存を目的に考古学者や化学者と共同で開発され、環境負荷の低い、安心・安全で使いやすい製品です。本製品は、エルサルバドルのマヤ遺跡の強化保存のほか、台湾地震断層の保存展示露頭面の強化保存処理に使用されています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/culture/175.html
エンジン発電機,国内シェア1位,社会インフラ・ソリューション,デンヨー株式会社　福井工場,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/machine/denyo02.jpg,波形歪が少なく、逆相耐量の大きい発電機,デンヨーのエンジン発電機は、台風・地震・火災などの災害時・病院の医療機器・ビルの排煙装置・オフィスや工場のコンピュータ・銀行のオンラインシステムなどの非常用電源としてさまざまな施設に導入されています。他の原動機と比較して熱効率が高く、燃料消費率が少なく経済的です。また、燃料は軽油やガソリンなどで容易に入手でき、国内シェアNo.1を誇っています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/109.html
アルミ折戸「イスターカーテン」,国内シェア1位,社会インフラ・ソリューション,株式会社TOKO,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/machine/toko02.jpg,アルミ製折れ戸に採用している「丁番（ちょうつがい）」はオンリーワン技術,アルミ製折れ戸「イスターカーテン」は、閉店後も店舗の中が見える透明シャッターの定番として広く知られ、空港ターミナルビルをはじめ全国の商業施設で多く採用され、2014年にはグッドデザイン　ロングライフデザイン賞を受賞しました。また、オンリーワン技術で進化を続ける「イスターカーテン」は圧倒的開放感を実現できる建具としても注目を集め、保育園や小学校など教育施設での採用機会が増えています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/110.html
超薄地ニットの染色仕上加工,国内シェア1位,ファッション,東洋染工株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/textile/toyosenko02.jpg,繊細で形状保持が難しい超薄地ニット生地の高品質な染色仕上加工,20ｇ/㎡以下のニット生地は手で触っただけでキズになる繊細なものです。軽量かつソフトで機能性も高く、トップメーカーのアウトドアウェア裏地など、多くの商品で採用されています。こうしたニット製品は高度な加工技術を要し、大部分の染色整理加工を当社が手掛けており、超薄地ニット加工といえば当社というイメージを打ち出すことができたと考えています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/037.html
合成繊維に保湿機能を持たせる加工技術「ＳＫＩＮＤＹ」,,ファッション,東洋染工株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/textile/toyosenko03.jpg,コラーゲンと繊維を化学結合で一体化させる画期的な手法,ナイロンは合成繊維であり、吸湿性・吸水性が乏しいですが、繊維とコラーゲンを一体化させる加工を行うことでこの課題を克服した、夢の繊維が出来ました。洗濯耐久性が高く、保湿性も高く肌に優しい群れ感やべたつき感が解消されており、Tシャツ、スポーツ、インナー分野に使用頂いております。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/037.html
吸水・撥水機能付快適衣料素材「アクアホール aquahole」,,スポーツ,東洋染工株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/textile/toyosenko04.jpg,薄層アクアホールテクノロジー,一般的な吸水速乾の素材は如何によく水分を吸い込み、早く乾くことをうたい文句にしております。しかし乾くまでは表面が濡れています。アクアホールは吸水面に水分がほぼ残らないので、肌面がべたべたせず、汗をかいてもサラサラです。アクアホールの技術としては、生地全体に吸水処理を施したのち、凹凸のある生地面の凸部先端にのみ撥水加工を施します。そうすることで肌に接する凸部は常に乾いており、汗をかいてもサラサラな快適性を維持します。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/037.html
未来超音波製・超音波洗浄機,,機械・ロボット,常盤商事株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/machine/tokiwa02.jpg,お客様のご希望に応じた洗浄装置を安価で提案,超音波洗浄機は、様々な製品の製造工程で要求される「洗浄」の分野で活用されています。しかし超音波洗浄機は高価であり、消耗品でもあることから、ランニングコストがネックになっていました。この問題を解決するために、当社では韓国・未来超音波技術と技術提携を行うことにより、低価格化の実現に成功いたしました。すべて特注設計のため、様々な仕様の超音波洗浄機を製作することが可能、そして特注設計に係る追加費用がありません。また、他メーカーの洗浄装置の「超音波装置」のみの交換も可能です。これは当社のオンリーワン技術で、全国各地から工事の依頼をいただいております。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/111.html
シートヒーター （蓄熱式ホットクッション、医療用など）,,医療 ,有限会社トップテクノ,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/electro/top-techno02.jpg,ハイテクから日常製品まで応用されているシートヒーター,当社は、薄い・軽い・柔らかいを特長とした産業用シートヒーター（面状発熱体）専門のメーカです。当社シートヒーターは、医療分野をはじめ、工業、農業用になど幅広く使用されています。フレキシブルシートヒーターでは、業界に先駆け防水ラバーヒーターを開発し、また市場のニーズを受け、モバイルバッテリーに接続できるUSBケーブル仕様のヒーターも製品化しました。さらに、一般向けとして、特殊な蓄熱パックと組み合わせた オリジナル商品「ホット座布団・クッション」を開発。持ち運びが可能なうえ、1時間の蓄熱により暖かさを４～５時間保つことができ、冷え性でお困りの方はもとより寒い季節のスポーツ観戦や釣り、暖房の行き届かないオフィスでのデスクワークなどに最適な省エネ製品として好評を得ています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/medical/146.html
眼鏡フレームに性質の全く異なる二つの素材を採用する「二重射出成型」技術,,ファッション,株式会社ナカニシビジョン,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/eyewear/nakanishivsion02.jpg,二重射出成型技術をメガネフレームに採用したオンリーワン企業,フレームの外側には、耐久性に優れたナイロン素材を採用し、顔に直接触れる内側には、密着性に優れたラバー素材を採用することで、かけ心地と強度を両立。さらに、鼻パット不要で、デザイン性を保った製品を実現。機能性とデザイン性を追求する海外ブランドとの取引を通じて、当社の技術は洗練され、成長を続けています。要求される品質をクリアするため、弾力性や耐久性を試験できるオリジナル機器をも開発。その姿勢を高く評価いただいています。▼株式会社ナカニシビジョン　公式 Facebookhttps://www.facebook.com/OfficialNakanishiVision/,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/130.html
道路反射鏡（カーブミラー）,国内シェア1位,社会インフラ・ソリューション,ナック・ケイ・エス株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/plastic/nackks02.jpg,シェアNo.1を支える真空成形技術、真空蒸着技術,現在の車社会において「道路反射鏡（カーブミラー）」は、交通の安全に欠かせない重要な役割を担っています。皆様ご存知のとおり、全国の交差点や十字路、車庫や駐車場の出入り口など、各地に多数設置されています。当社は「道路反射鏡」の製造において国内シェアナンバーワン（約40%）を誇ります。また、この道路反射鏡に使われる「アクリル樹脂製鏡面」も国内シェアナンバーワン（約70%）を誇り、日々の交通安全に欠かせないものとなっております。（平成18年「元気なモノ作り中小企業300社」経済産業省に選定）,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/075.html
FRPプール,国内シェア3位,スポーツ,ナック・ケイ・エス株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/plastic/nackks03.jpg,FRP成形技術と工法、様々なノウハウの融合,従来、遊泳用のプールは現場施工の鉄筋コンクリート製がほとんどでしたが、近年は安全面での配慮などから、FRP（繊維強化プラスチック）製やステンレス製が採用されています。当社は、FRP成形に関する様々な技術や工法を基に、FRP製の大型プールを製造しており、遊泳用や競技用プールの他、医療用やリハビリ用など、様々な用途やニーズに応じた製品を提供し、国内シェア第3位（10％）を誇ります。また、この技術を応用しアクリル樹脂との複合板を成形したり全国の水族館で大型ＦＲＰ製水槽をご使用頂いています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/075.html
大出力レーザ加工システム,,機械・ロボット,株式会社ナ・デックスプロダクツナ・デックスレーザＲ＆Ｄセンター,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/machine/nadex02.jpg,大出力ファイバーレーザの高品位な深溶込み特性を、ものづくり（生産プロセス）に,ファイバーレーザ発振器の高品位なビーム特性を活かした生産プロセスへの展開が進むにつれ、高出力化が必要とされ、ナ・デックスグループは大阪大学接合科学研究所の支援を得て、発振器メーカーのＩＰＧと世界最大出力の100kwファイバーレーザ発振器の導入を計画し、研究開発拠点として本センターを設立しました。本センターでは、その世界一高密度なエネルギー源を利用したレーザ加工技術の開発・研究と生産システムを構成する加工ヘッド等の機器開発に取り組み、ナ・デックスグループとして大出力レーザ加工の生産プロセス提案、システムインテグレーテーションを行っております。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/machine/112.html
チタンの微細精密部品加工,,航空・宇宙,株式会社西村金属,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/eyewear/nishimurakinzoku02.jpg,コア技術は、NC旋盤加工による微細精密切削加工,当社は、チタン加工＆ステンレス加工の微細加工・精密部品加工専門町工場です。特にチタン加工は、世界有数の眼鏡産地「鯖江」で、チタン製眼鏡フレームの開発にチャレンジしたのをきっかけに様々なノウハウが蓄積されました。当社加工製品は、メガネフレームをはじめ、医療用のチタン部品、チタンアクセサリー部品、航空機部品、インプラント、アルカリイオン水生成機のチタン電極部、光センサー部品などに使用され、これら製品の小型化、軽量化、高付加価値化に伴い、チタンの微細精密加工の需要が急増しています。（平成21年に「元気なモノ作り中小企業300社」（経済産業省）に選定）,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/aerospace/131.html
繊維加工用フッ素フリー系撥水剤「ネオシード®NR シリーズ」,国内シェア1位,ファッション,日華化学株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/chemical/nicca02.jpg,世界でも高シェアを獲得　撥水性とソフトな風合いを両立した性能バランスに優れた撥水剤,スポーツウェア等のアパレル製品に付与される撥水加工には広くフッ素化合物が使用されてきましたが、近年、フッ素化合物は環境中での残留性、生物蓄積性、人や生物への毒性懸念の観点からフッ素フリー系化合物への切り替えが進められています。ところが、従来のフッ素フリー系化合物ではフッ素系ほどの撥水性能が得られないため、その解決策が求められていました。当社が開発したフッ素フリー系撥水剤「ネオシード®NRシリーズ」は、フッ素系撥水剤に匹敵する優れた撥水性のみならず、撥水加工後の生地物性（ソフトな風合い、耐摩耗性、縫目滑脱抵抗性等）への影響にも配慮した製品です。当社は繊維加工用薬剤の世界的トップメーカーとして、健康と環境により優しいフッ素フリー系撥水剤の研究を積み重ね、業界に先駆けてグローバルに展開してまいりました。「ネオシード®シリーズ」は、現在、世界の大手アパレル・スポーツメーカーにて採用が進んでおります。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/066.html
人工皮革用水系ウレタン樹脂「エバファノールシリーズ」,国内シェア1位,ファッション,日華化学株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/chemical/nicca03.jpg,有機溶剤を用いない、環境にやさしい人工皮革製造用の水系ウレタン樹脂,衣服や靴・財布、カーシート、ソファなど様々な皮革製品には、天然皮革と共に人工皮革が使用されており、近年は機能性・耐久性・意匠性において、天然皮革と比べても遜色のない人工皮革が開発されています。しかし、それら人工皮革の多くは、有機溶剤を用いたウレタン樹脂を原料にしているため、VOC（揮発性有機化合物）やシックハウス症候群などの課題があり、環境への配慮から、水系ウレタン樹脂を用いた人工皮革のニーズが高まっています。当社は独自の樹脂合成技術や界面科学を駆使し、有機溶剤を用いない環境にやさしい水系ウレタン樹脂を開発。環境にやさしい人工皮革の提供に貢献しています。また、人工皮革メーカーが求める質感、強度、耐久性、染色性などの物性において、従来の有機溶剤系ウレタン樹脂を用いた人工皮革に匹敵する性能を達成し、高い評価を得ています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/066.html
リネンサプライ向け液体洗剤「グリーンパルシリーズ」,,ファッション,日華化学株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/chemical/nicca04.jpg,落としにくかった油汚れを強力に一度で落とす当社のオンリーワン技術,ユニフォームやマット、モップ等に多用されているポリエステル繊維は油汚れとなじみ易いという性質があり、長期繰り返し使用による逆汚染（クスミ）が発生しやすいという問題を抱えています。しかし従来の洗浄剤ではポリエステル繊維に付着した油汚れに対する洗浄性や逆汚染防止性は十分ではありませんでした。当社の「グリーンパルシリーズ」はこれらの問題を解決すべく、当社の界面科学で培った技術を駆使した特殊界面活性剤（特許取得）を配合し、特にポリエステル素材等の合成繊維に付着した油汚れに対して非常に高い洗浄力（除去力）を発揮するだけでなく、逆汚染（クスミ）の発生も防止しています。これらの技術により洗浄後の衣料（リネン品）を繰り返し使用できるため、廃棄ロスにも繋がっています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/066.html
繊維加工用防炎剤「ニッカファイノン、ネオステッカー」シリーズ,国内シェア1位,住宅・家電,日華化学株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/chemical/nicca05.jpg,独自開発した防炎加工剤。環境にやさしい原料を使用。,ホテルや病院など不特定多数の人が集まる施設で使用するカーテンは災害時の安全対策として、消防法で定められた防炎性能基準を満たしていなければなりません。当社は独自で開発した特殊な界面活性剤と分散技術を駆使し、カーテンなどの繊維製品に防炎性能を付与する防炎加工剤を製造・販売しています。同薬剤は人体や環境に配慮した原料を使用しており、カーテン類のみならず、自動車、電化製品等幅広く使用され、国内シェアナンバーワンを誇っています。カーテンなどの繊維製品は、洗濯を繰り返しても同等の防炎性能を維持する洗濯耐久性が求められます。当社の防炎加工剤は、防炎カーテンに用いられるポリエステル繊維を染色加工する際に、染料と同様に繊維内部に吸収されるため、高い洗濯耐久性を有しています。また防炎加工の際に発生する生地の染色ムラや染色機械の汚れといったリスクを低減するよう設計しているため、加工時のトラブルも防止できます。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/066.html
ドライクリーニング用洗剤「ドライスターWP-1」,国内シェア1位,ファッション,日華化学株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/chemical/nicca07.jpg,ドライクリーニングだけでは落ちなかった水溶性汚れを落とす,商業クリーニングには、水で洗う「ウエットクリーニング」と、溶剤で洗う「ドライクリーニング」がありますが、ドライクリーニングは、化粧品などの油汚れは落ちやすい一方、汗や食べこぼしなどの水溶性の汚れは落ちにくい性質を持っています。水溶性の汚れを落とすためには、しみ抜きなど特殊クリーニングの併用や、ウエットクリーニングを行うなどの処理が必要ですが、手間がかかるうえ、生地の収縮や色落ちが起きるなど多くの問題点がありました。そこで、当社は商業クリーニング用薬剤のトップメーカーとして、水溶性の汚れを格段に落ちやすくした画期的なドライクリーニング用薬剤「ドライスターWP-1」を開発。新技術（浸透・界面可溶化作用の融合）により水を使わずに水溶性の汚れを落とせるため、工程短縮に貢献しています。当社は商業クリーニング薬剤の製造販売において、国内シェアナンバーワンを誇っています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/066.html
美容室向けヘアカラー剤「アソートアリアC」,,ファッション,日華化学株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/chemical/nicca08.jpg,美容師の使いやすさを追求。すべての髪色をコントロールできるヘアカラー剤,美容師のテクニックを徹底的に考慮した作業性の良さに加えて、従来品に比べて、刺激臭や髪へのダメージ低減を実現したヘアカラー剤を開発。ヘアカラー施術をする方、される方、双方の快適性が向上しました。5つのシリーズから構成される195色の多彩な色揃えも、当製品ならでは。5つのシリーズが連携しているため、白髪染め、おしゃれ染めなど様々なヘアカラーリングにおいて、希望の明るさや色味を実現します。さらに、ヘアカラー剤の作用は髪質によって変化するため、薬剤の塗布を慎重に行う必要がありましたが、髪質に対応した薬剤が豊富にラインナップされているため、髪のコンディションに応じた最適なカラーリングを提供しています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/066.html
グラビア印刷インキや磁気カードのバインダー（商品名：ソルバイン）,,住宅・家電,日信化学工業株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/chemical/nissinchemical02.jpg,樹脂合成に関するノウハウの蓄積が技術力の根源。,「ソルバイン」は、塩化ビニルの強靭性、耐薬品性と酢酸ビニルの付着性、可塑性を活かしながら、さらに種々の極性基を付与した接着性、溶解性に優れた樹脂です。樹脂フィルムは、無味、無臭で耐水性が良く、吸水率が低いなどの優れた性質を持っています。当樹脂は、顔料の分散性に優れることから、塗料用バインダーや磁気カード用バインダーに用いられ、特にインキ分野では世界トップシェアを誇ります。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/068.html
壁紙のツヤ消し剤（商品名：ビニブラン）,国内シェア1位,住宅・家電,日信化学工業株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/chemical/nissinchemical03.jpg,水系壁紙用表面処理剤の国内シェアNo.1,壁紙には表面のツヤ消しのために表面処理が施されています。この表面処理剤には、有機溶剤をベースとした溶剤系表面処理剤と、水をベースとした水系表面処理剤とがありますが、当社ではシックハウス症候群などへの配慮から水系表面処理剤の開発を進めてきました。当社は、壁紙用表面処理剤の製造において国内シェアナンバーワン（約90%）を誇っています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/068.html
塗料・インクに配合されている濡れ剤（商品名：サーフィノール、オルフィン、シルフェイス）,,住宅・家電,日信化学工業株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/chemical/nissinchemical04.jpg,濡れ剤の可能性を具現化する独自のノウハウ,塗料やインクなどを基材に塗る際には、塗料やインクが基材上で水滴にならずに均一に広がるように、“濡れ性” を良くする薬品（濡れ剤）を添加しますが、液体に濡れ剤を添加すると液体は泡が立ちやすくなります。泡が立つとムラの原因になるため消泡剤を添加しますが、一般的に消泡剤は濡れ性が悪くなります。当社は、これらの課題を解決した「泡の立ちにくい濡れ剤“サーフェノール”」を、エボニックインダストリーズ社の日本国内の代理店として取り扱っています。また、当社で独自の改良・改質を加え、水に混ざりやすく環境に配慮した濡れ剤を開発し、基材に合わせた多様な製品を製造しています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/068.html
ウレタンスポンジの複雑形状切断装置,国内シェア1位,住宅・家電,日東産業株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/machine/nittoindustrial02.jpg,切断面を均一に凹凸加工する3次元立体加工技術を確立,ソファーやマットレス、スポンジタワシや防音材など、家具や寝具、建材などの様々なところにウレタンフォーム（スポンジ）が使われています。当社は、これらのウレタンフォームの切断・加工をするカッティングマシンの製造を行っています。従来の水平・垂直の平面の他、スポンジタワシのような凹凸加工も可能です。当社は、これまで培った技術とノウハウを基に、ウレタンフォームのカッティングマシンの製造において国内シェアナンバーワンを誇っています。（平成21年に「元気なモノ作り中小企業300社」（経済産業省）および「KANSAIモノ作り元気企業100社」（経済産業省）に選定）,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/113.html
